ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
1,46,010170,대한광통신,절연선 및 케이블 제조업,1.9591,2132.0,12600.0,490.99437148217635,-33.82352941176471
2,94,019210,와이지-원,기타 금속 가공제품 제조업,0.8369,5300.0,22500.0,324.52830188679246,41.24293785310735
3,197,290550,디케이티,전자부품 제조업,0.444,6860.0,22200.0,223.61516034985425,4.716981132075482
4,48,032820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1.9237,3640.0,11210.0,207.967032967033,-36.198064883323845
5,137,037460,삼지전자,통신 및 방송 장비 제조업,0.5899,14740.0,36150.0,145.25101763907733,-12.996389891696747
6,58,043260,성호전자,전자부품 제조업,1.585,9240.0,22150.0,139.71861471861473,-52.518756698821
7,184,327260,RF머트리얼즈,전자부품 제조업,0.4695,22497.0,52200.0,132.03093745832777,-21.62162162162162
8,67,127120,제이에스링크,자연과학 및 공학 연구개발업,1.3532,17850.0,38950.0,118.20728291316524,18.20940819423369
9,28,178320,서진시스템,기타 전기장비 제조업,3.0139,25300.0,47350.0,87.15415019762847,-36.95073235685752
10,64,082920,비츠로셀,일차전지 및 이차전지 제조업,1.4101,17620.0,31100.0,76.50397275822928,-33.688699360341154
11,85,038500,삼표시멘트,기타 비금속 광물제품 제조업,0.8914,4990.0,8260.0,65.5310621242485,-28.360797918473544
12,113,041830,인바디,의료용 기기 제조업,0.7077,32750.0,52500.0,60.30534351145038,18.37655016910935
13,65,218410,RFHIC,통신 및 방송 장비 제조업,1.3834,32650.0,52100.0,59.57120980091884,-32.337662337662344
14,74,347700,스피어,소프트웨어 개발 및 공급업,1.1238,14690.0,21800.0,48.400272294077595,-40.59945504087194
15,117,048410,현대바이오,기타 화학제품 제조업,0.7006,4965.0,7260.0,46.223564954682786,-18.518518518518523
16,127,050890,쏠리드,통신 및 방송 장비 제조업,0.6489,7370.0,10680.0,44.91180461329716,-16.4972634870993
17,176,027360,아주IB투자,기타 금융업,0.4882,2885.0,4030.0,39.68804159445407,-50.913520097442145
18,87,100790,미래에셋벤처투자,기타 금융업,0.8845,12450.0,16650.0,33.734939759036145,-57.087628865979376
19,112,033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0.726,35100.0,45200.0,28.774928774928775,-12.741312741312738
20,68,078600,대주전자재료,전자부품 제조업,1.2815,63500.0,81600.0,28.503937007874015,-32.450331125827816
21,81,099320,쎄트렉아이,"항공기,우주선 및 부품 제조업",0.9648,68600.0,88100.0,28.42565597667639,-25.21222410865874
22,196,368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",0.4468,10800.0,13600.0,25.92592592592593,-11.22715404699739
23,86,241710,코스메카코리아,기타 화학제품 제조업,0.8864,66600.0,83000.0,24.624624624624623,20.639534883720923
24,35,319400,현대무벡스,일반 목적용 기계 제조업,2.5895,18790.0,23250.0,23.736029803086755,-40.61302681992337
25,105,032500,케이엠더블유,통신 및 방송 장비 제조업,0.7409,14400.0,17560.0,21.944444444444457,-36.491862567811935
26,61,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,1.5146,23800.0,29000.0,21.84873949579831,3.3868092691622165
27,102,189300,인텔리안테크,통신 및 방송 장비 제조업,0.7785,59500.0,72500.0,21.84873949579831,-30.8206106870229
28,45,290650,엘앤씨바이오,의약품 제조업,1.9607,61100.0,72700.0,18.98527004909985,-5.46163849154746
29,139,383310,에코프로에이치엔,기타 화학제품 제조업,0.5873,24050.0,28000.0,16.42411642411643,-0.7092198581560294
30,57,007390,네이처셀,기초 의약물질 제조업,1.6238,21800.0,25200.0,15.596330275229352,-21.250000000000004
31,192,078130,국일제지,기타 종이 및 판지 제품 제조업,0.451,3480.0,4000.0,14.942528735632177,8.108108108108114
32,138,044490,태웅,기타 금속 가공제품 제조업,0.5892,25750.0,29450.0,14.36893203883496,-8.823529411764708
33,6,950160,코오롱티슈진,기초 의약물질 제조업,7.6473,79600.0,90000.0,13.06532663316582,-12.28070175438597
34,91,086450,동국제약,의약품 제조업,0.8675,17150.0,19180.0,11.83673469387756,0.0
35,169,033790,피노,일차전지 및 이차전지 제조업,0.5041,5500.0,6050.0,10.000000000000009,-34.31053203040174
36,128,093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",0.6481,121100.0,132800.0,9.661436829066885,6.070287539936103
37,133,023160,태광,1차 철강 제조업,0.6143,21700.0,23750.0,9.447004608294929,-19.76351351351351
38,147,041960,코미팜,의약품 제조업,0.5541,7020.0,7500.0,6.8376068376068355,-12.383177570093462
39,148,171090,선익시스템,특수 목적용 기계 제조업,0.5536,52500.0,54800.0,4.380952380952374,-30.368487928843713
40,30,145020,휴젤,기초 의약물질 제조업,2.9591,230500.0,240500.0,4.338394793926237,-1.6359918200409052
41,92,417200,LS머트리얼즈,전자부품 제조업,0.8572,12180.0,12670.0,4.022988505747116,-23.674698795180728
42,36,237690,에스티팜,의약품 제조업,2.5803,119200.0,123600.0,3.691275167785224,1.3114754098360717
43,111,032190,다우데이타,기계장비 및 관련 물품 도매업,0.7266,18400.0,18970.0,3.0978260869565233,-3.214285714285714
44,187,034950,한국기업평가,기타 사업지원 서비스업,0.464,99300.0,102200.0,2.920443101711978,2.200000000000002
45,116,014620,성광벤드,1차 철강 제조업,0.7038,25750.0,26500.0,2.9126213592232997,-11.813643926788686
46,164,126340,비나텍,일차전지 및 이차전지 제조업,0.5156,71900.0,71800.0,-0.1390820584144636,-32.00757575757576
47,190,272290,이녹스첨단소재,전자부품 제조업,0.4526,22750.0,22700.0,-0.219780219780219,-21.45328719723183
48,42,263750,펄어비스,소프트웨어 개발 및 공급업,2.3284,37400.0,37050.0,-0.9358288770053512,-9.963547995139733
49,126,052400,코나아이,소프트웨어 개발 및 공급업,0.6539,45400.0,44900.0,-1.1013215859030812,-10.110110110110115
50,90,090710,휴림로봇,특수 목적용 기계 제조업,0.8752,7450.0,7320.0,-1.744966442953022,-37.59590792838875
51,72,003380,하림지주,기타 금융업,1.1604,10630.0,10360.0,-2.539981185324558,-0.4803073967339144
52,39,257720,실리콘투,상품 종합 도매업,2.4657,38650.0,37600.0,-2.7166882276843496,8.513708513708519
53,97,056190,SFA,특수 목적용 기계 제조업,0.8169,23400.0,22750.0,-2.777777777777779,-14.794007490636709
54,60,060370,LS마린솔루션,전기 및 통신 공사업,1.5149,29950.0,29000.0,-3.171953255425708,-4.290429042904287
55,155,052020,에스티큐브,기계장비 및 관련 물품 도매업,0.5391,8200.0,7930.0,-3.292682926829271,-27.909090909090907
56,5,277810,레인보우로보틱스,특수 목적용 기계 제조업,8.7978,470500.0,453500.0,-3.6131774707757742,-27.323717948717952
57,200,099190,아이센스,의료용 기기 제조업,0.4377,15900.0,15220.0,-4.276729559748427,-6.280788177339902
58,3,086520,에코프로,기타 금융업,11.6496,90800.0,85800.0,-5.506607929515416,-25.84269662921348
59,145,121600,나노신소재,기타 화학제품 제조업,0.5696,49950.0,46450.0,-7.0070070070070045,-19.497400346620452
60,166,056080,유진로봇,특수 목적용 기계 제조업,0.5104,14400.0,13350.0,-7.2916666666666625,-31.67860798362334
61,62,083650,비에이치아이,일반 목적용 기계 제조업,1.4962,52300.0,48350.0,-7.552581261950286,-40.012406947890824
