ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
1,108,000500,가온전선,절연선 및 케이블 제조업,4.2102,45788.0,254500.0,455.82248624093654,81.74417276051189
2,81,047040,대우건설,건물 건설업,7.1703,3820.0,17450.0,356.80628272251306,-20.13729977116705
3,90,004170,신세계,종합 소매업,5.941,247000.0,629000.0,154.65587044534414,-9.49640287769784
4,23,010120,LS ELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",30.375,92000.0,202500.0,120.10869565217392,-8.98876404494382
5,107,023530,롯데쇼핑,종합 소매업,4.3932,72500.0,155300.0,114.20689655172413,-20.60327198364008
6,194,475150,SK이터닉스,건물 건설업,1.4598,20700.0,42850.0,107.00483091787439,-0.34883720930232176
7,25,066570,LG전자,통신 및 방송 장비 제조업,29.7102,91900.0,182400.0,98.47660500544069,-19.113082039911312
8,148,085620,미래에셋생명,보험업,2.4765,9380.0,18320.0,95.30916844349679,-35.265017667844525
9,181,001740,SK네트웍스,기타 전문 도매업,1.7211,4520.0,8580.0,89.82300884955751,-34.0
10,119,069960,현대백화점,종합 소매업,3.6035,88600.0,167100.0,88.60045146726863,-5.752961082910324
11,76,028050,삼성E&A,"건축기술, 엔지니어링 및 관련 기술 서비스업",8.6436,24050.0,44100.0,83.36798336798337,-7.352941176470584
12,193,093370,후성,기초 화학물질 제조업,1.4737,7530.0,13740.0,82.47011952191234,-27.72225144660705
13,31,006800,미래에셋증권,금융 지원 서비스업,23.6137,23249.0,42200.0,81.51318336272529,-19.311663479923514
14,47,079550,LIG디펜스앤에어로스페이스,무기 및 총포탄 제조업,16.478,421000.0,749000.0,77.90973871733966,-2.979274611398963
15,34,000150,두산,전자부품 제조업,22.3799,781000.0,1382000.0,76.95262483994878,-27.109704641350206
16,117,010060,OCI홀딩스,기타 금융업,3.693,115200.0,197800.0,71.70138888888889,-34.06666666666667
17,147,161890,한국콜마,기타 화학제품 제조업,2.5139,62100.0,106500.0,71.4975845410628,23.263888888888886
18,162,005440,현대지에프홀딩스,기타 금융업,2.1827,8320.0,14000.0,68.26923076923077,1.59651669085632
19,40,017670,SK텔레콤,전기 통신업,19.0519,53500.0,88700.0,65.79439252336448,-13.883495145631064
20,65,006260,LS,기타 금융업,10.2648,199900.0,329000.0,64.5822911455728,-14.877102199223803
21,27,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",27.265,1781000.0,2924000.0,64.17742841100504,-13.388625592417059
22,125,336260,두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3.0815,28850.0,47050.0,63.084922010398614,-35.63611491108071
23,55,278470,에이피알,기타 화학제품 제조업,14.0393,231000.0,375000.0,62.33766233766234,-4.822335025380708
24,139,006360,GS건설,건물 건설업,2.7258,19700.0,31850.0,61.6751269035533,10.590277777777768
25,21,006400,삼성SDI,일차전지 및 이차전지 제조업,34.9741,269500.0,434000.0,61.03896103896105,-19.480519480519476
26,52,010950,S-Oil,석유 정제품 제조업,14.8722,83000.0,132100.0,59.15662650602409,18.581687612208263
27,6,005380,현대차,자동차용 엔진 및 자동차 제조업,93.6767,296500.0,457500.0,54.300168634064086,-24.629324546952226
28,151,375500,DL이앤씨,토목 건설업,2.4493,41150.0,63300.0,53.82746051032807,-14.343707713125841
29,61,000720,현대건설,토목 건설업,11.9373,70100.0,107200.0,52.92439372325251,-31.93650793650794
30,62,005940,NH투자증권,금융 지원 서비스업,11.2605,21100.0,31600.0,49.763033175355446,-0.47244094488189115
31,67,016360,삼성증권,금융 지원 서비스업,10.0016,75400.0,112000.0,48.54111405835544,-5.72390572390572
32,9,105560,KB금융,기타 금융업,65.4044,124700.0,184400.0,47.874899759422604,14.392059553349878
33,59,071050,한국금융지주,기타 금융업,13.3185,161700.0,239000.0,47.804576376004945,-0.6237006237006182
34,167,007340,DN오토모티브,일차전지 및 이차전지 제조업,2.0976,24400.0,35850.0,46.92622950819671,-11.042183622828784
35,92,062040,산일전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5.7895,130100.0,189100.0,45.34973097617217,-18.31533477321814
36,111,088350,한화생명,보험업,4.0387,3255.0,4650.0,42.85714285714286,-6.438631790744465
37,79,078930,GS,기타 금융업,7.4502,56300.0,80200.0,42.451154529307274,10.620689655172422
38,14,055550,신한지주,기타 금융업,51.8323,76900.0,109200.0,42.002600780234076,9.63855421686748
39,121,012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3.4949,85600.0,120000.0,40.18691588785046,0.0
40,20,086790,하나금융지주,기타 금융업,35.2563,94100.0,128500.0,36.55685441020191,6.198347107438007
41,136,028670,팬오션,해상 운송업,2.8065,3850.0,5250.0,36.36363636363635,1.1560693641618602
42,60,307950,현대오토에버,소프트웨어 개발 및 공급업,12.3956,332000.0,452000.0,36.14457831325302,-33.91812865497076
43,143,004800,효성,기타 금융업,2.6031,114700.0,155500.0,35.571054925893634,-14.183222958057396
